Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
Q6PEH4	reviewed	UTP25_DANRE	U3 small nucleolar RNA-associated protein 25 homolog (Digestive organ expansion factor) (UTP25 small subunit processor component)	utp25 def diexf	Danio rerio (Zebrafish) (Brachydanio rerio)	753	Evidence at protein level
Q6PEH9	reviewed	S39AA_DANRE	Zinc transporter ZIP10 (Solute carrier family 39 member 10) (Zrt- and Irt-like protein 10) (ZIP-10)	slc39a10 zip10 zgc:63552	Danio rerio (Zebrafish) (Brachydanio rerio)	847	Evidence at transcript level
Q6PFM0	reviewed	JMJD6_DANRE	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR) (zfpsr)	jmjd6 psr ptdsr zgc:66264	Danio rerio (Zebrafish) (Brachydanio rerio)	403	Evidence at transcript level
Q6PGV1	reviewed	VA0D1_DANRE	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (Vacuolar proton pump subunit d 1)	atp6v0d1 cto zgc:63769	Danio rerio (Zebrafish) (Brachydanio rerio)	350	Evidence at protein level
Q6PGY3	reviewed	TXTPA_DANRE	Tricarboxylate transport protein A, mitochondrial (Citrate transport protein A) (Solute carrier family 25 member 1a)	slc25a1a zgc:63578	Danio rerio (Zebrafish) (Brachydanio rerio)	359	Evidence at transcript level
Q6PGZ3	reviewed	MIPT3_DANRE	TRAF3-interacting protein 1	traf3ip1 zgc:63522	Danio rerio (Zebrafish) (Brachydanio rerio)	629	Evidence at transcript level
Q6PH17	reviewed	ATAT_DANRE	Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	atat1 mec17 si:ch211-152p11.5 zgc:65893	Danio rerio (Zebrafish) (Brachydanio rerio)	297	Evidence at protein level
Q6PH18	reviewed	N2F1B_DANRE	Nuclear receptor subfamily 2 group F member 1-B (COUP transcription factor 1-B) (COUP-TFalpha-B)	nr2f1b nr2f1l zgc:77353	Danio rerio (Zebrafish) (Brachydanio rerio)	389	Evidence at transcript level
Q6PHH3	reviewed	PD10A_DANRE	Programmed cell death protein 10-A	pdcd10a pdcd10 si:ch211-167c22.5	Danio rerio (Zebrafish) (Brachydanio rerio)	210	Evidence at protein level
Q6PI20	reviewed	H33_DANRE	Histone H3.3	h3f3a zgc:56193 zgc:86731; h3f3b.1 zgc:110292; h3-5 h3f3c zgc:64222; h3f3d zgc:56418	Danio rerio (Zebrafish) (Brachydanio rerio)	136	Evidence at transcript level
Q6QA32	reviewed	DHB3_DANRE	17-beta-hydroxysteroid dehydrogenase type 3 (17-beta-HSD 3) (Short chain dehydrogenase/reductase family 12C member 2) (Testicular 17-beta-hydroxysteroid dehydrogenase) (Testosterone 17-beta-dehydrogenase 3) (EC 1.1.1.64)	hsd17b3	Danio rerio (Zebrafish) (Brachydanio rerio)	307	Evidence at protein level
Q6QMG1	reviewed	TSHR_ICTPU	Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)	tshr	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	778	Evidence at protein level
Q6QU75	reviewed	PITX3_DANRE	Pituitary homeobox 3 (Bicoid-like homeodomain transcription factor Pitx3) (Homeobox protein PITX3) (Paired-like homeodomain transcription factor 3)	pitx3 si:dkey-196H17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	293	Evidence at transcript level
Q6R005	reviewed	DLG4_DANRE	Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95)	dlg4	Danio rerio (Zebrafish) (Brachydanio rerio)	801	Evidence at transcript level
Q6R5J2	reviewed	DISP1_DANRE	Protein dispatched homolog 1 (Protein chameleon)	disp1 con	Danio rerio (Zebrafish) (Brachydanio rerio)	1464	Evidence at transcript level
Q6R8J2	reviewed	HEG_DANRE	Protein HEG (Heart of glass)	heg	Danio rerio (Zebrafish) (Brachydanio rerio)	977	Evidence at protein level
Q6SJP8	reviewed	FG17_DANRE	Fibroblast growth factor 17 (FGF-17) (Fibroblast growth factor 17b) (FGF-17b)	fgf17 fgf17b si:ch211-237h13.2 zgc:101759	Danio rerio (Zebrafish) (Brachydanio rerio)	215	Evidence at transcript level
Q6T938	reviewed	FIBP_DANRE	Acidic fibroblast growth factor intracellular-binding protein B (aFGF intracellular-binding protein B) (FGF-1 intracellular-binding protein B)	fibpb fibpl	Danio rerio (Zebrafish) (Brachydanio rerio)	355	Evidence at protein level
Q6TEK8	reviewed	VKORL_TAKRU	Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)	vkorc1l1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	175	Evidence at protein level
Q6TEL0	reviewed	MTMR8_DANRE	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR8 (EC 3.1.3.95) (Myotubularin-related protein 6) (Myotubularin-related protein 8) (Phosphatidylinositol-3-phosphate phosphatase)	mtmr8 mtmr6 si:dkey-286f3.1 zgc:56405	Danio rerio (Zebrafish) (Brachydanio rerio)	632	Evidence at transcript level
Q6TEL1	reviewed	RA21A_DANRE	Double-strand-break repair protein rad21 homolog A (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product)]	rad21a rad21 SCC1	Danio rerio (Zebrafish) (Brachydanio rerio)	643	Evidence at protein level
Q6TEM9	reviewed	MYLIA_DANRE	E3 ubiquitin-protein ligase MYLIP-A (EC 2.3.2.27) (Myosin regulatory light chain-interacting protein A) (MIR-A) (RING-type E3 ubiquitin transferase MYLIP-A)	mylipa mir mylip si:ch211-266j17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	472	Evidence at protein level
Q6TEN1	reviewed	RAP1B_DANRE	Ras-related protein Rap-1b (EC 3.6.5.2)	rap1b si:dkey-31f5.4	Danio rerio (Zebrafish) (Brachydanio rerio)	184	Evidence at transcript level
Q6TV19	reviewed	DICER_DANRE	Endoribonuclease Dicer (EC 3.1.26.3)	dicer1	Danio rerio (Zebrafish) (Brachydanio rerio)	1865	Evidence at transcript level
Q6V9Y8	reviewed	GPC3_DANRE	Glypican-3 [Cleaved into: Glypican-3 alpha subunit; Glypican-3 beta subunit]	gpc3	Danio rerio (Zebrafish) (Brachydanio rerio)	590	Evidence at protein level
Q6VN46	reviewed	MYG_DANRE	Myoglobin (Nitrite reductase MB) (EC 1.7.-.-) (Pseudoperoxidase MB) (EC 1.11.1.-)	mb zgc:65819	Danio rerio (Zebrafish) (Brachydanio rerio)	147	Evidence at transcript level
Q708S3	reviewed	ASI4B_DANRE	Acid-sensing ion channel 4-B (ASIC4-B) (Acid-sensing ion channel 4.2) (Amiloride-sensitive cation channel 4-B) (ZASIC4.2)	asic4b accn4b	Danio rerio (Zebrafish) (Brachydanio rerio)	558	Evidence at protein level
Q708S4	reviewed	ASI4A_DANRE	Acid-sensing ion channel 4-A (ASIC4-A) (Acid-sensing ion channel 4.1) (Amiloride-sensitive cation channel 4-A) (ZASIC4.1)	asic4a accn4a	Danio rerio (Zebrafish) (Brachydanio rerio)	539	Evidence at protein level
Q708S6	reviewed	ASI1C_DANRE	Acid-sensing ion channel 1C (ASIC1-C) (Acid-sensing ion channel 1.3-C) (Amiloride-sensitive cation channel 2-C, neuronal-C) (ZASIC1.3)	asic1c	Danio rerio (Zebrafish) (Brachydanio rerio)	529	Evidence at protein level
Q708S7	reviewed	ASI1A_DANRE	Acid-sensing ion channel 1A (ASIC1-A) (Acid-sensing ion channel 1.2-A) (Amiloride-sensitive cation channel 2-B, neuronal-A) (ZASIC1.2)	asic1a accn2b	Danio rerio (Zebrafish) (Brachydanio rerio)	501	Evidence at protein level
Q708S8	reviewed	ASI1B_DANRE	Acid-sensing ion channel 1B (ASIC1-B) (Acid-sensing ion channel 1.1-B) (Amiloride-sensitive cation channel 2-A, neuronal-B) (ZASIC1.1)	asic1b accn2a	Danio rerio (Zebrafish) (Brachydanio rerio)	557	Evidence at transcript level
Q70SU8	reviewed	SALRN_SALSA	Cystein proteinase inhibitor protein salarin (Cathepsin M)	salarin catm	Salmo salar (Atlantic salmon)	342	Evidence at protein level
Q70X92	reviewed	ASB11_DANRE	Ankyrin repeat and SOCS box protein 11 (ASB-11) (d-asb11)	asb11 zgc:136370 zgc:158532	Danio rerio (Zebrafish) (Brachydanio rerio)	293	Evidence at protein level
Q76IQ4	reviewed	GHRL_ONCMY	Ghrelin [Cleaved into: Ghrelin-23; Ghrelin-24]	ghrl	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	111	Evidence at protein level
Q76LC6	reviewed	RBM24_DANRE	RNA-binding protein 24 (RNA-binding motif protein 24) (RNA-binding protein SEB-4)	rbm24	Danio rerio (Zebrafish) (Brachydanio rerio)	230	Evidence at transcript level
Q7LZI4	reviewed	OSTCN_CYPCA	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	bglap	Cyprinus carpio (Common carp)	48	Evidence at protein level
Q7SIC1	reviewed	FUCL_ANGAN	Fucolectin		Anguilla anguilla (European freshwater eel) (Muraena anguilla)	158	Evidence at protein level
Q7SIG3	reviewed	ELA1_SALSA	Elastase-1 (EC 3.4.21.36)		Salmo salar (Atlantic salmon)	236	Evidence at protein level
Q7SX99	reviewed	FUMH_DANRE	Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)	fh zgc:66253	Danio rerio (Zebrafish) (Brachydanio rerio)	509	Evidence at transcript level
Q7SXE8	reviewed	CDK9_DANRE	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 9)	cdk9	Danio rerio (Zebrafish) (Brachydanio rerio)	374	Evidence at transcript level
Q7SXG4	reviewed	SAE2_DANRE	SUMO-activating enzyme subunit 2 (EC 2.3.2.-) (Ubiquitin-like 1-activating enzyme E1B) (Ubiquitin-like modifier-activating enzyme 2)	uba2 sae2 sae2b uble1b si:ch211-149o7.1 zgc:66354	Danio rerio (Zebrafish) (Brachydanio rerio)	650	Evidence at protein level
Q7SXM0	reviewed	HDAC8_DANRE	Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-)	hdac8	Danio rerio (Zebrafish) (Brachydanio rerio)	378	Evidence at transcript level
Q7SXM7	reviewed	PRP31_DANRE	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31)	prpf31	Danio rerio (Zebrafish) (Brachydanio rerio)	508	Evidence at transcript level
Q7SXN5	reviewed	DNM1L_DANRE	Dynamin-1-like protein (EC 3.6.5.5)	dnm1l zgc:66163	Danio rerio (Zebrafish) (Brachydanio rerio)	691	Evidence at transcript level
Q7SXS7	reviewed	SETD3_DANRE	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	setd3 zgc:63842	Danio rerio (Zebrafish) (Brachydanio rerio)	596	Evidence at transcript level
Q7SY24	reviewed	KPCB_DANRE	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	prkcbb prkcb1	Danio rerio (Zebrafish) (Brachydanio rerio)	670	Evidence at transcript level
Q7SYK7	reviewed	AATM_DANRE	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Glutamate oxaloacetate transaminase 2a) (Glutamic-oxaloacetic transaminase 2a, mitochondrial) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Transaminase A)	got2a got2 zgc:66329	Danio rerio (Zebrafish) (Brachydanio rerio)	428	Evidence at transcript level
Q7SYL3	reviewed	SIAH2_DANRE	E3 ubiquitin-protein ligase Siah2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2-like) (Siah-2)	siah2l siah2 siaz zgc:66284	Danio rerio (Zebrafish) (Brachydanio rerio)	331	Evidence at transcript level
Q7SYN5	reviewed	RXRBA_DANRE	Retinoic acid receptor RXR-beta-A (Nuclear receptor subfamily 2 group B member 2-A) (Retinoid X receptor beta-A)	rxrba nr2b2a rxrb rxre	Danio rerio (Zebrafish) (Brachydanio rerio)	471	Evidence at transcript level
Q7SZC2	reviewed	XPO2_DANRE	Exportin-2 (Exp2) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	cse1l xpo2	Danio rerio (Zebrafish) (Brachydanio rerio)	971	Evidence at protein level
Q7SZE3	reviewed	L2GL2_DANRE	LLGL scribble cell polarity complex component 2 (Lethal(2) giant larvae protein homolog 2) (Protein penner)	llgl2 pen	Danio rerio (Zebrafish) (Brachydanio rerio)	1020	Evidence at protein level
Q7SZK7	reviewed	OFD1_DANRE	Centriole and centriolar satellite protein ofd1 (Oral-facial-digital syndrome 1 protein homolog)	ofd1 zgc:92562	Danio rerio (Zebrafish) (Brachydanio rerio)	901	Evidence at transcript level
Q7SZP9	reviewed	APJA_DANRE	Apelin receptor A (Angiotensin II receptor-like 1a) (Angiotensin receptor-like 1a) (G-protein coupled receptor APJ A)	aplnra agtrl1 agtrl1a	Danio rerio (Zebrafish) (Brachydanio rerio)	362	Evidence at protein level
Q7SZS1	reviewed	SX21A_DANRE	Transcription factor Sox-21-A (SRY-box containing gene 21a)	sox21a sox21 sox30	Danio rerio (Zebrafish) (Brachydanio rerio)	239	Evidence at transcript level
Q7T019	reviewed	DZIP1_DANRE	Cilium assembly protein DZIP1 (DAZ-interacting protein 1 homolog) (DAZ-interacting zinc finger protein 1) (Iguana protein)	dzip1 igu si:dz52i16.1	Danio rerio (Zebrafish) (Brachydanio rerio)	898	Evidence at transcript level
Q7T1H5	reviewed	DND1_DANRE	Dead end protein 1	dnd	Danio rerio (Zebrafish) (Brachydanio rerio)	411	Evidence at protein level
Q7T1N4	reviewed	ASIC1_OPSTA	Acid-sensing ion channel 1 (ASIC1)	asic1	Opsanus tau (Oyster toadfish) (Gadus tau)	522	Evidence at protein level
Q7T273	reviewed	HEPC2_DANRE	Hepcidin-2	hamp2 hamp	Danio rerio (Zebrafish) (Brachydanio rerio)	91	Inferred from homology
Q7T2B0	reviewed	CTL4_DANRE	Choline transporter-like protein 4 (Solute carrier family 44 member 4)	slc44a4 ctl4	Danio rerio (Zebrafish) (Brachydanio rerio)	723	Evidence at transcript level
Q7T2C4	reviewed	S26A5_DANRE	Prestin (Solute carrier family 26 member 5)	slc26a5	Danio rerio (Zebrafish) (Brachydanio rerio)	739	Evidence at transcript level
Q7T2E3	reviewed	KC1DA_DANRE	Casein kinase I isoform delta-A (CKI-delta-A) (CKId-A) (EC 2.7.11.1) (Casein kinase I isoform delta-like)	csnk1da csnk1dl si:ch211-234h8.6	Danio rerio (Zebrafish) (Brachydanio rerio)	403	Evidence at transcript level
Q7T308	reviewed	RN168_DANRE	E3 ubiquitin-protein ligase rnf168 (EC 2.3.2.27) (RING finger protein 168) (RING-type E3 ubiquitin transferase rnf168)	rnf168 zgc:64185	Danio rerio (Zebrafish) (Brachydanio rerio)	474	Evidence at transcript level
Q7T384	reviewed	SC5AC_DANRE	Sodium-coupled monocarboxylate transporter 2 (Electroneutral sodium monocarboxylate cotransporter) (zSMCTn) (Low-affinity sodium-lactate cotransporter) (Solute carrier family 5 member 12) (zSLC5A12)	slc5a12 smctn	Danio rerio (Zebrafish) (Brachydanio rerio)	623	Evidence at protein level
Q7T394	reviewed	LIS1A_DANRE	Lissencephaly-1 homolog A (Platelet-activating factor acetylhydrolase IB subunit alpha a)	pafah1b1a lis1b si:dkey-95O3.1	Danio rerio (Zebrafish) (Brachydanio rerio)	410	Evidence at transcript level
Q7T3A4	reviewed	RAB13_DANRE	Ras-related protein Rab-13 (EC 3.6.5.2)	rab13	Danio rerio (Zebrafish) (Brachydanio rerio)	200	Evidence at protein level
Q7T3B2	reviewed	HRG1A_DANRE	Heme transporter hrg1-A (zHRG-1) (Heme-responsive gene 1 protein homolog A) (HRG-1A) (Solute carrier family 48 member 1-B)	slc48a1b hrg1a zgc:63994	Danio rerio (Zebrafish) (Brachydanio rerio)	144	Evidence at protein level
Q7T3E5	reviewed	KAT3_DANRE	Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)	kyat3 ccbl2 kat3 zgc:63929	Danio rerio (Zebrafish) (Brachydanio rerio)	450	Evidence at transcript level
Q7T3I0	reviewed	ZC4H2_DANRE	Zinc finger C4H2 domain-containing protein (Hepatocellular carcinoma-associated antigen 127 homolog) (Hepatocellular carcinoma-associated antigen 127-like)	zc4h2	Danio rerio (Zebrafish) (Brachydanio rerio)	224	Evidence at transcript level
Q7T3T8	reviewed	ZAR1_DANRE	Zygote arrest protein 1	zar1	Danio rerio (Zebrafish) (Brachydanio rerio)	329	Evidence at protein level
Q7ZSX3	reviewed	PTF1A_DANRE	Pancreas transcription factor 1 subunit alpha (Pancreas-specific transcription factor 1a) (bHLH transcription factor p48)	ptf1a si:zc142h2.2 zgc:112216	Danio rerio (Zebrafish) (Brachydanio rerio)	265	Evidence at transcript level
Q7ZT82	reviewed	RFX1L_DANRE	RNA binding protein fox-1 homolog 1-like (Ataxin 2-binding protein 1-like) (Fox-1 homolog-like protein 1)	rbfox1l a2bp1l fox1 fox1l si:ch211-57k11.1	Danio rerio (Zebrafish) (Brachydanio rerio)	382	Evidence at protein level
Q7ZTI3	reviewed	RARAB_DANRE	Retinoic acid receptor alpha-B (RAR-alpha-B) (Nuclear receptor subfamily 1 group B member 1-B) (Retinoic acid receptor alpha-2.B) (RAR-alpha-2.B)	rarab nr1b1b rara2b	Danio rerio (Zebrafish) (Brachydanio rerio)	458	Evidence at transcript level
Q7ZTU9	reviewed	TBX2_DANRE	T-box transcription factor TBX2b (T-box protein 2b)	tbx2b tbx-c	Danio rerio (Zebrafish) (Brachydanio rerio)	687	Evidence at protein level
Q7ZU13	reviewed	SPNS1_DANRE	Protein spinster homolog 1 (Protein not really started) (Spinster-like protein) (Spns1)	spns1 nrs spinl	Danio rerio (Zebrafish) (Brachydanio rerio)	506	Evidence at transcript level
Q7ZU92	reviewed	PARN_DANRE	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Polyadenylate-specific ribonuclease)	parn zgc:56067	Danio rerio (Zebrafish) (Brachydanio rerio)	660	Evidence at protein level
Q7ZU99	reviewed	TERA_DANRE	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (Protein CDC48) (Valosin-containing protein) (VCP)	vcp cdc48 si:ch211-113n10.2	Danio rerio (Zebrafish) (Brachydanio rerio)	806	Evidence at protein level
Q7ZUQ3	reviewed	STK3_DANRE	Serine/threonine-protein kinase 3 (EC 2.7.11.1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	stk3 zgc:55383	Danio rerio (Zebrafish) (Brachydanio rerio)	492	Evidence at transcript level
Q7ZUS4	reviewed	ST2S2_DANRE	Cytosolic sulfotransferase 2 (EC 2.8.2.-) (SULT1 ST2)	sult1st2	Danio rerio (Zebrafish) (Brachydanio rerio)	301	Evidence at protein level
Q7ZV84	reviewed	DAAF1_DANRE	Dynein axonemal assembly factor 1 (Leucine-rich repeat-containing protein 50)	dnaaf1 lrrc50 zgc:56169	Danio rerio (Zebrafish) (Brachydanio rerio)	555	Evidence at transcript level
Q7ZVA6	reviewed	IF4A3_DANRE	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3)	eif4a3 ddx48	Danio rerio (Zebrafish) (Brachydanio rerio)	406	Evidence at transcript level
Q7ZVK3	reviewed	SIR2_DANRE	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	sirt2 zgc:77003	Danio rerio (Zebrafish) (Brachydanio rerio)	379	Evidence at protein level
Q7ZVN5	reviewed	SRP54_DANRE	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)	srp54	Danio rerio (Zebrafish) (Brachydanio rerio)	504	Evidence at transcript level
Q7ZVS3	reviewed	PLK4_DANRE	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase Sak)	plk4 sak	Danio rerio (Zebrafish) (Brachydanio rerio)	940	Evidence at transcript level
Q7ZVT3	reviewed	SAS6_DANRE	Spindle assembly abnormal protein 6 homolog	sass6 sas6 zgc:55668	Danio rerio (Zebrafish) (Brachydanio rerio)	627	Evidence at protein level
Q7ZW00	reviewed	AGK_DANRE	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (MuLK) (Multi-substrate lipid kinase)	agk mulk si:ch211-238n5.3 zgc:55462	Danio rerio (Zebrafish) (Brachydanio rerio)	422	Evidence at transcript level
Q7ZWB7	reviewed	BBS5_DANRE	BBSome complex member BBS5 (Bardet-Biedl syndrome 5 protein homolog)	bbs5 zgc:56578	Danio rerio (Zebrafish) (Brachydanio rerio)	342	Evidence at transcript level
Q7ZWC3	reviewed	8ODP_DANRE	Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)	nudt1	Danio rerio (Zebrafish) (Brachydanio rerio)	156	Evidence at protein level
Q7ZWE3	reviewed	LARP7_DANRE	La-related protein 7 (La ribonucleoprotein domain family member 7)	larp7 zgc:56476	Danio rerio (Zebrafish) (Brachydanio rerio)	555	Evidence at transcript level
Q7ZWE9	reviewed	KCY_DANRE	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	cmpk cmpk1	Danio rerio (Zebrafish) (Brachydanio rerio)	196	Evidence at transcript level
Q7ZWG9	reviewed	SGMR1_DANRE	Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R)	sigmar1 oprs1 zgc:56378	Danio rerio (Zebrafish) (Brachydanio rerio)	222	Evidence at transcript level
Q7ZWK8	reviewed	OTOP1_DANRE	Proton channel OTOP1 (Otopetrin-1)	otop1	Danio rerio (Zebrafish) (Brachydanio rerio)	586	Evidence at protein level
Q800H9	reviewed	H6ST2_DANRE	Heparan-sulfate 6-O-sulfotransferase 2 (HS 6-OST-2) (HS6ST-2) (EC 2.8.2.-)	hs6st2 hs6st	Danio rerio (Zebrafish) (Brachydanio rerio)	468	Evidence at transcript level
Q800Q5	reviewed	T7L1B_DANRE	Transcription factor 7-like 1-B (HMG box transcription factor 3-B) (TCF-3-B)	tcf7l1b tcf3b	Danio rerio (Zebrafish) (Brachydanio rerio)	551	Evidence at transcript level
